country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,,,,,,,0.146,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,0.497,,0.57,,,,,,,,0.563,,,,,0.599,,,,,,,,,,,,,0.546,,
South Korea,,,,,0.16,0.2,,,,,0.245,,,0.349,,0.442,,,0.545,,,0.577,,,0.704,,,0.771,,,0.794,,,0.774,,,0.805,,,0.793,,,0.845,,0.802,0.796,,,0.8,,,0.771,,,0.796,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,0.04,,,,,,,,
Spain,,,,,,,,,,,,,,,,,0.471,,,,,,,,0.594,,,,,,,,,,0.811,,,,0.717,,,,,,,0.657,,,,,,,,0.727,,0.709,,
Sri Lanka,,,,,,,,,,,,,,0.432,0.344,,0.486,,,,,0.578,,,,,0.617,,,,,,0.661,,,,,,,0.7,,,,,,,0.684,,,,,,,,,0.617,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,0.406,,,,,,,,,,,,,,,,,,,,,,0.54,,0.54,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,0.522,0.522,,,,,,0.473,,,,,,,,,,0.47,,,,,,,,,,,,,,0.555,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,0.555,0.555,,,,,,0.583,,,,,,,,,,0.58,,,,,,,0.48,0.48,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,0.046,,,,,,,,,,,0.087,,,0.099,,,,,,0.07,,,,,,,0.095,,,,0.091,,,,0.122,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,0.421,,,,,,0.456,,,,0.476,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198,,,,,,,,,,,,0.277,,0.401,,,,,0.506,,,0.652,,,,0.661,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,0.752,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,0.712,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,0.729,,,,,,
Syria,,,,,,,,,,,,,,,,,,0.295,,,,,,,,,,,,,,,0.396,,,,,,,0.453,0.466,,,,,0.583,,,,0.539,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339,,,0.253,0.246,0.379,0.285,0.371,,,,,0.279,,,,,0.293,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,0.204,,0.184,,,0.254,,,,,0.282,0.264,,,,,0.344,,,,,,0.384,,
Thailand,,,,,,,,,,0.148,,,0.263,,0.367,,,0.534,0.534,,0.59,,,0.646,,,0.655,,0.662,,,,0.739,,,0.752,0.722,,,0.792,0.778,,,,0.715,0.715,,,0.796,,,0.793,,,,0.784,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251,,,0.226,,,0.267,,,,0.08,,0.1,,,,0.198,,,0.223,,,,,,0.261,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339,,,,,,,,,,0.235,,0.257,,,,,,0.168,,,,0.152,,,,0.199,,,,
Tonga,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,0.41,,0.328,0.33,,0.23,,,,0.239,,,,0.315,,0.341,,,,,,
Trinidad and Tobago,,,,,,,,,,,0.436,,,,,,0.602,,,,,,,,,,0.527,,,,,,,,,,,,,0.382,,,,,,0.425,,,,,0.403,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,0.314,,,,,0.411,,,,,0.498,,,,,,,0.6,,,,,0.655,0.626,,,,,0.602,,,,,,0.625,,,,,,
Turkey,,,0.221,,,,,0.316,,,,,0.368,,,,,0.504,,,,,0.506,,,,,0.634,,,,,0.626,,,,,0.639,,,,,0.71,,,,,0.73,,,,,0.735,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539,,,,,,0.48,,,,,,,,,0.502,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,0.316,,,,,0.305,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,,,,,0.148,,,,,,0.228,,,,0.197,0.237,,,,,0.3,,,0.272,0.343,0.39,0.385,0.418
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675,0.716,,,,,0.656,,0.667,,,,,0.654,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,0.77,,,,,,,0.83,,,0.81,,,0.69,,0.7,,0.82,,0.82,0.82,0.74,0.83,0.76,0.8,0.83,0.83,0.8,0.84,0.82,0.82,0.84,0.82,0.84,,,,,,,,,
United States,,,,,0.665,,,,,0.676,,,0.696,,0.79,0.677,,,,,,0.695,,,,,,0.743,,0.707,,,,,0.764,,,,,,,0.728,,,,,0.771,0.764,,0.764,,0.741,0.741,0.727,0.727,0.759,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,0.84,,,,,,,0.77,0.78,,,,,,,,,,0.796,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556,,,,0.672,,0.677,,,,0.649,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,0.244,,,,,,,0.15,,,,0.39,,,,0.28,,,,,,,,0.384,,,,,,0.49,,,,,
Venezuela,,,,,,,,,,,,,,,,,0.603,,,,,,,,,,,,,,,,0.58,,,,,0.703,,,,,,,,,,,,0.75,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.58,,0.532,,,,,,0.65,,,0.753,0.719,,0.742,0.739,0.785,0.753,0.757,0.768,0.757,0.79,0.794,,0.78,0.778,0.763,0.773,0.757,0.757,,,
Yemen,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,0.097,,,,,0.208,,,,,,0.231,,,0.277,,,,,,,0.335,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,,,,0.259,,,0.22,,,0.342,,,,,0.408,,,,,,,0.49,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,0.384,,,,0.431,,,,,,0.481,,,,,0.535,,,,,,,0.602,,,0.649,,0.585,,,0.669,0.668,,,
